Domain,Volume ID in Gutenberg,Volume ID in HathiTrust,Pubdate in HathiTrust,Volume Title in HathiTrust,Volume Title in Gutenberg,Author
Fiction,15,dul1.ark+=13960=t3kw6ns1s,1851,"Moby-Dick, or, the Whale / by Herman Melville.","Moby-Dick; or, The Whale","Melville, Herman"
Fiction,27,coo.31924014152700,1894,Far from the madding crowd. By Thomas Hardy.,Far from the Madding Crowd,"Hardy, Thomas"
Fiction,60,nyp.33433075744890,1905,The Scarlet Pimpernel / by Baroness Orczy.,The Scarlet Pimpernel,"Orczy, Emmuska Orczy, Baroness"
Fiction,62,hvd.32044004480208,1917,"A princess of Mars, by Edgar Rice Burroughs ... illustrated by Frank E. Schoonover.",A Princess of Mars,"Burroughs, Edgar Rice"
Fiction,64,osu.32435018600130,1918,The gods of Mars / by Edgar Rice Burroughs ; frontispiece by Frank E. Schoonover.,The Gods of Mars,"Burroughs, Edgar Rice"
Fiction,72,osu.32435018376988,1920,"Thuvia, maid of Mars / by Edgar Rice Burroughs ... ; illustrated by J. Allen St. John.","Thuvia, Maid of Mars","Burroughs, Edgar Rice"
Fiction,73,osu.32435017850652,1895,"The red badge of courage; an episode of the American civil war, by Stephen Crane.",The Red Badge of Courage: An Episode of the American Civil War,"Crane, Stephen"
Fiction,76,coo1.ark+=13960=t5m90sk5d,1884,Adventures of Huckleberry Finn : (Tom Sawyer's comrade) / by Mark Twain ; with one hundred and seventy-four illustrations.,Adventures of Huckleberry Finn,"Twain, Mark"
Fiction,78,osu.32435018294363,1914,Tarzan of the apes / Edgar Rice Burroughs.,Tarzan of the Apes,"Burroughs, Edgar Rice"
Fiction,82,hvd.32044097059752,1892,"Ivanhoe; a romance, by Sir Walter Scott, bart.",Ivanhoe: A Romance,"Scott, Walter"
Fiction,84,mdp.39076005079566,1910,"Frankenstein, or, The modern Prometheus / by Mrs. Shelley.","Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft"
Fiction,86,coo.31924092732654,1889,A Connecticut Yankee in King Arthur's court / by Mark Twain.,A Connecticut Yankee in King Arthur's Court,"Twain, Mark"
Fiction,91,hvd.hwjs9e,1894,"Tom Sawyer abroad, by Huck Finn [pseud.] Ed. by Mark Twain [pseud.] with illustrations by Dan Beard.",Tom Sawyer Abroad,"Twain, Mark"
Fiction,94,uc2.ark+=13960=t2c82566x,1912,Alexander's bridge / by Willa Sibert Cather,Alexander's Bridge,"Cather, Willa"
Fiction,95,nyp.33433112048859,1894,The prisoner of Zenda : being the history of three months in the life of an English gentleman / by Anthony Hope.,The Prisoner of Zenda,"Hope, Anthony"
Fiction,103,hvd.hn5bf5,1876,Around the world in eighty days. Tr. by Geo. M. Towle.,Around the World in Eighty Days,"Verne, Jules"
Fiction,105,uc1.c006245800,1903,Persuasion.,Persuasion,"Austen, Jane"
Fiction,119,nyp.33433074812821,1880,"A tramp abroad; illustrated by W. Fr. Brown, True Williams, B. Day and other artists - with also three or four pictures made by the author of this book, without outside help; in all 328 illus. By Mark Twain (Samuel L. Clemens.)",A Tramp Abroad,"Twain, Mark"
Fiction,121,uc2.ark+=13960=t5q81gp9x,1903,Northanger abbey / by Jane Austen.,Northanger Abbey,"Austen, Jane"
Fiction,126,mdp.39015079184472,1913,The poison belt : being an account of another amazing adventure of Professor Challenger / by Sir Arthur Conan Doyle.,The Poison Belt,"Doyle, Arthur Conan"
Fiction,133,umn.31951002118336b,1900,"The damnation of Theron Ware; or, Illumination.",The Damnation of Theron Ware,"Frederic, Harold"
Fiction,135,hvd.hn31ai,1863,"Les misérables : a novel. / By Victor Hugo. ; translated from the original French, by Chas. E. Wilbour. : complete in one volume.",Les Misérables,"Hugo, Victor"
Fiction,139,coo.31924051019580,1912,The lost world / by Sir Arthur Conan Doyle.,The Lost World,"Doyle, Arthur Conan"
Fiction,140,mdp.39015026866577,1920,"The jungle,",The Jungle,"Sinclair, Upton"
Fiction,141,dul1.ark+=13960=t4th9rm8z,1816,"Mansfield Park : a novel : in three volumes / by the author of ""Pride and prejudice.""",Mansfield Park,"Austen, Jane"
Fiction,142,uc1.b4719573,1906,"The $30,000 bequest, and other stories, by Mark Twain (Samuel L. Clemens)","The $30,000 Bequest, and Other Stories","Twain, Mark"
Fiction,144,umn.31951002045498p,1920,The voyage out / by Virginia Woolf.,The Voyage Out,"Woolf, Virginia"
Fiction,145,hvd.hn61ky,1876,Middlemarch: a study of provincial life.,Middlemarch,"Eliot, George"
Fiction,155,inu.30000007708815,1868,The moonstone. A novel. By Wilkie Collins ...,The Moonstone,"Collins, Wilkie"
Fiction,158,dul1.ark+=13960=t8x93fx03,1816,"Emma : a novel : in three volumes / by the author of ""Pride and prejudice"", &c. &c.",Emma,"Austen, Jane"
Fiction,161,dul1.ark+=13960=t3hx2kk8v,1811,Sense and sensibility: a novel. By a lady.,Sense and Sensibility,"Austen, Jane"
Fiction,164,umn.31951002069125w,1905,Twenty thousand leagues under the sea.,Twenty Thousand Leagues under the Sea,"Verne, Jules"
Fiction,165,msu.31293103308577,1903,"McTeague; a story of San Francisco, by Frank Norris ...",McTeague: A Story of San Francisco,"Norris, Frank"
Fiction,170,uiuo.ark+=13960=t20c5nj8x,1879,"The haunted hotel : a mystery of modern Venice, to which is added My lady's money / by Wilkie Collins ; with six illustrations by Arthur Hopkins.",The Haunted Hotel: A Mystery of Modern Venice,"Collins, Wilkie"
Fiction,171,dul1.ark+=13960=t2m628g7q,1802,Charlotte Temple : a tale of truth / by Mrs. Rowson ; two volumes in one.,Charlotte Temple,"Rowson, Mrs."
Fiction,172,mdp.39015086837690,1919,The haunted bookshop / by Christopher Morley.,The Haunted Bookshop,"Morley, Christopher"
